AP1;AP2;AP3;AP4;AP5;AP6;AP7;AP8;AP9;AP10;AP11;Beacon 1;Beacon 2;Beacon 3;Beacon 4;Beacon 5;Beacon 6;Beacon 7;Beacon 8;Beacon 9;Beacon 10;Beacon 11;Beacon 12;Beacon 13;Beacon 14;Beacon 15;Beacon 16;Beacon 17;Beacon 18;Beacon 19;Beacon 20;Beacon 21;Beacon 22;Beacon 23;Beacon 24;Beacon 25;Beacon 26;Beacon 27;Beacon 28;Beacon 29;Beacon 30;Beacon 31;Beacon 32;Beacon 33;Beacon 34;Beacon 35;Beacon 36;Beacon 37;Beacon 38;Beacon 39;Beacon 40;Beacon 41;Beacon 42;Beacon 43;Beacon 44;Beacon 45;Beacon 46;X Pos;Y Pos
-110;-110;-110;-110;-110;-110;-61;-60;-110;-77;-110;-89;-110;-110;-110;-85;-110;-110;-110;-110;-90;-110;-110;-110;-110;-110;-110;-83;-88;-110;-78;-110;-110;-86;-110;-110;-87;-110;-110;-110;-91;-110;-110;-110;-110;-110;-91;-76;-110;-110;-85;-86;-110;-110;-110;-110;-110;31.3;15.8
-110;-110;-80;-60;-65;-72;-60;-110;-110;-72;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-86;-110;-74;-110;-110;-110;-92;-110;-86;-110;-110;-91;-110;-110;-110;-85;-110;-110;-89;-110;-110;-78;-110;-68;-69;-110;-110;-110;-110;28.2;9.6
-110;-110;-110;-110;-110;-110;-60;-57;-74;-61;-77;-110;-110;-110;-110;-74;-88;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-93;-110;-110;-110;-90;-110;-110;-85;-110;-110;-110;-110;-110;-81;-110;-110;-90;-83;-110;-110;-110;-86;-81;-110;-110;-110;-110;28.2;6.5
-110;-110;-91;-110;-110;-71;-63;-61;-74;-62;-78;-110;-110;-110;-110;-75;-110;-110;-84;-86;-91;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-85;-79;-110;-110;-110;-110;-110;-84;-110;-110;-87;-110;-110;-110;-110;-110;-81;-110;-110;-110;-110;28.2;3.4
-110;-110;-110;-110;-110;-72;-66;-50;-70;-70;-83;-110;-110;-99;-110;-110;-110;-110;-89;-86;-110;-110;-110;-110;-110;-110;-110;-79;-110;-110;-87;-110;-110;-110;-110;-110;-110;-82;-110;-110;-110;-110;-110;-110;-97;-110;-84;-110;-110;-79;-110;-110;-110;-110;-110;-110;-110;31.3;22
-110;-110;-110;-80;-110;-75;-64;-60;-79;-110;-110;-110;-110;-110;-110;-110;-110;-110;-80;-83;-110;-110;-110;-110;-110;-110;-110;-74;-110;-110;-81;-110;-110;-110;-110;-110;-110;-110;-110;-91;-110;-110;-110;-91;-110;-110;-110;-82;-97;-110;-90;-110;-89;-78;-110;-86;-110;31.3;25.1
-68;-110;-110;-110;-110;-110;-110;-110;-85;-110;-110;-110;-110;-110;-80;-110;-81;-110;-110;-110;-110;-90;-89;-78;-77;-110;-110;-110;-110;-110;-95;-110;-110;-110;-110;-91;-110;-110;-85;-110;-110;-110;-110;-91;-110;-110;-110;-110;-88;-110;-110;-110;-110;-110;-88;-110;-110;3.4;18.9
-66;-110;-69;-110;-110;-110;-110;-110;-80;-110;-72;-110;-110;-94;-84;-110;-110;-110;-110;-110;-110;-79;-81;-71;-110;-91;-110;-110;-110;-92;-94;-110;-110;-110;-110;-110;-90;-110;-79;-110;-110;-110;-76;-87;-80;-110;-110;-110;-80;-110;-110;-110;-97;-110;-85;-110;-110;9.6;15.8
-66;-110;-66;-110;-110;-89;-110;-110;-69;-110;-67;-110;-110;-110;-70;-110;-110;-110;-110;-110;-110;-110;-110;-78;-110;-110;-110;-110;-110;-90;-110;-88;-110;-110;-86;-83;-110;-110;-110;-110;-110;-110;-83;-110;-75;-110;-110;-110;-79;-110;-110;-110;-110;-110;-74;-110;-110;12.7;15.8
-77;-110;-110;-110;-110;-90;-110;-110;-70;-110;-70;-110;-110;-77;-74;-110;-110;-84;-110;-110;-110;-110;-110;-80;-75;-110;-110;-110;-110;-110;-110;-83;-110;-110;-90;-110;-91;-96;-81;-110;-110;-89;-110;-90;-69;-110;-110;-110;-79;-95;-110;-110;-110;-110;-80;-110;-110;15.8;15.8
-76;-110;-63;-110;-110;-110;-110;-110;-69;-110;-73;-110;-110;-87;-110;-110;-67;-86;-110;-110;-110;-86;-110;-85;-73;-110;-110;-110;-110;-110;-86;-110;-87;-110;-91;-110;-110;-110;-110;-110;-95;-110;-77;-94;-79;-110;-110;-110;-110;-110;-110;-110;-110;-92;-80;-110;-110;12.7;22
-79;-78;-70;-63;-52;-74;-110;-81;-110;-110;-110;-85;-110;-110;-110;-110;-110;-110;-110;-110;-80;-110;-110;-110;-110;-110;-110;-91;-110;-110;-90;-110;-110;-110;-110;-110;-85;-110;-81;-81;-80;-110;-110;-85;-110;-110;-86;-95;-110;-85;-110;-89;-110;-110;-110;-73;-74;15.8;22
