AP1;AP2;AP3;AP4;AP5;AP6;AP7;AP8;AP9;AP10;AP11;Beacon 1;Beacon 2;Beacon 3;Beacon 4;Beacon 5;Beacon 6;Beacon 7;Beacon 8;Beacon 9;Beacon 10;Beacon 11;Beacon 12;Beacon 13;Beacon 14;Beacon 15;Beacon 16;Beacon 17;Beacon 18;Beacon 19;Beacon 20;Beacon 21;Beacon 22;Beacon 23;Beacon 24;Beacon 25;Beacon 26;Beacon 27;Beacon 28;Beacon 29;Beacon 30;Beacon 31;Beacon 32;Beacon 33;Beacon 34;Beacon 35;Beacon 36;Beacon 37;Beacon 38;Beacon 39;Beacon 40;Beacon 41;Beacon 42;Beacon 43;Beacon 44;Beacon 45;Beacon 46;X Pos;Y Pos
-110;-110;-110;-110;-60;-67;-78;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-86;-81;-83;-110;-110;-84;-110;-110;-110;-110;-72;-110;-110;-110;-84;-69;-110;-110;-110;-92;-110;-98;-110;-86;-110;-99;-110;-110;-110;-92;-110;-110;-90;-83;-88;-110;-110;-82;-68;46.8;34.4
-110;-110;-82;-73;-47;-68;-110;-84;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-85;-83;-79;-110;-110;-110;-110;-110;-88;-110;-72;-110;-110;-110;-110;-77;-110;-110;-110;-110;-91;-96;-84;-110;-110;-91;-110;-110;-110;-110;-110;-110;-110;-87;-87;-110;-110;-76;-72;46.8;31.3
-110;-82;-75;-69;-43;-110;-110;-110;-110;-110;-110;-110;-91;-110;-110;-110;-110;-110;-92;-110;-81;-91;-110;-88;-110;-110;-86;-97;-76;-110;-85;-110;-82;-72;-110;-110;-83;-110;-85;-93;-76;-91;-90;-110;-110;-110;-89;-110;-110;-110;-94;-82;-110;-110;-110;-75;-68;46.8;28.2
-80;-110;-74;-65;-52;-70;-110;-110;-110;-110;-110;-81;-110;-110;-110;-110;-110;-110;-84;-106;-110;-96;-92;-110;-110;-91;-110;-110;-81;-110;-92;-110;-110;-110;-110;-110;-77;-110;-110;-110;-73;-110;-110;-93;-110;-110;-110;-110;-110;-91;-110;-81;-88;-110;-110;-76;-75;43.7;28.2
-80;-110;-73;-110;-61;-70;-110;-110;-110;-110;-110;-81;-110;-110;-110;-110;-110;-110;-110;-86;-72;-110;-110;-110;-110;-110;-78;-110;-67;-110;-110;-110;-82;-68;-110;-110;-84;-110;-91;-110;-75;-110;-85;-88;-110;-110;-110;-110;-110;-110;-110;-77;-89;-110;-110;-77;-72;43.7;31.3
-110;-110;-74;-110;-56;-74;-74;-78;-110;-110;-110;-81;-110;-110;-110;-96;-110;-110;-84;-80;-77;-110;-98;-88;-110;-100;-89;-110;-69;-110;-110;-97;-110;-110;-110;-110;-81;-84;-110;-110;-80;-110;-99;-93;-110;-110;-91;-88;-110;-110;-85;-83;-82;-110;-110;-80;-86;43.7;34.4
-110;-85;-110;-64;-48;-64;-74;-74;-110;-110;-110;-110;-110;-110;-110;-97;-88;-110;-81;-110;-71;-92;-110;-110;-110;-110;-80;-110;-74;-110;-82;-110;-84;-71;-110;-110;-75;-110;-110;-93;-110;-92;-93;-80;-110;-110;-110;-110;-110;-86;-91;-110;-86;-110;-110;-76;-75;40.6;34.4
-110;-75;-110;-63;-59;-61;-110;-70;-110;-110;-110;-110;-110;-110;-110;-110;-93;-110;-110;-96;-74;-82;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-70;-110;-110;-71;-110;-83;-81;-70;-110;-91;-110;-110;-110;-90;-110;-110;-81;-86;-82;-82;-95;-110;-71;-75;40.7;31.3
-110;-80;-110;-65;-60;-60;-110;-79;-110;-110;-110;-83;-110;-110;-110;-110;-110;-110;-110;-84;-77;-99;-110;-110;-110;-110;-110;-110;-76;-110;-110;-110;-87;-73;-110;-110;-80;-110;-110;-88;-73;-110;-110;-110;-110;-110;-100;-86;-110;-83;-90;-110;-83;-101;-110;-110;-65;40.7;28.2
-81;-110;-70;-58;-61;-76;-84;-72;-110;-110;-110;-80;-110;-110;-110;-110;-88;-110;-110;-86;-86;-110;-110;-86;-110;-110;-83;-90;-80;-110;-85;-110;-77;-78;-110;-110;-72;-88;-110;-84;-66;-110;-110;-110;-110;-110;-110;-93;-110;-110;-110;-73;-83;-110;-110;-77;-110;37.5;28.2
